split,task,metric,first50,paper,direction,ratio_to_paper
real,Text-to-Lottie,Success,100.0,88.3,high,1.1325028312570782
real,Text-to-Lottie,Time,59.1614,,low,
real,Text-to-Lottie,Tokens(k),18.062939999999998,13.4,high,1.3479805970149252
real,Text-to-Lottie,FVD,640.081875,202.14,low,0.31580334937620286
real,Text-to-Lottie,CLIP,0.273899,0.3029,high,0.9042555298778475
real,Text-to-Lottie,Obj,3.4,4.62,high,0.7359307359307359
real,Text-to-Lottie,Motion,4.24,5.89,high,0.7198641765704584
real,Text-to-Lottie,PSNR,,,high,
real,Text-to-Lottie,SSIM,,,high,
real,Text-to-Lottie,DINO,,,high,
real,Text-Image-to-Lottie,Success,100.0,93.3,high,1.0718113612004287
real,Text-Image-to-Lottie,Time,66.1067,,low,
real,Text-Image-to-Lottie,Tokens(k),20.19792,16.5,high,1.2241163636363637
real,Text-Image-to-Lottie,FVD,690.47193,180.27,low,0.26108230062299564
real,Text-Image-to-Lottie,CLIP,0.274525,0.2997,high,0.9159993326659993
real,Text-Image-to-Lottie,Obj,4.2,4.96,high,0.8467741935483871
real,Text-Image-to-Lottie,Motion,4.76,4.24,high,1.1226415094339621
real,Text-Image-to-Lottie,PSNR,,,high,
real,Text-Image-to-Lottie,SSIM,,,high,
real,Text-Image-to-Lottie,DINO,,,high,
real,Video-to-Lottie,Success,100.0,88.1,high,1.1350737797956867
real,Video-to-Lottie,Time,62.5256,,low,
real,Video-to-Lottie,Tokens(k),22.086380000000002,40.2,high,0.5494124378109453
real,Video-to-Lottie,FVD,635.482269,227.11,low,0.3573821191854529
real,Video-to-Lottie,CLIP,,,high,
real,Video-to-Lottie,Obj,,,high,
real,Video-to-Lottie,Motion,,,high,
real,Video-to-Lottie,PSNR,0.805726,16.08,high,0.05010733830845772
real,Video-to-Lottie,SSIM,0.033893,0.82,high,0.04133292682926829
real,Video-to-Lottie,DINO,0.627041,0.92,high,0.6815663043478261
synthetic,Text-to-Lottie,Success,100.0,82.1,high,1.218026796589525
synthetic,Text-to-Lottie,Time,37.6888,,low,
synthetic,Text-to-Lottie,Tokens(k),12.715959999999999,13.4,high,0.94895223880597
synthetic,Text-to-Lottie,FVD,608.532752,206.35,low,0.33909432043190996
synthetic,Text-to-Lottie,CLIP,0.272633,0.2748,high,0.9921142649199418
synthetic,Text-to-Lottie,Obj,3.92,4.31,high,0.9095127610208817
synthetic,Text-to-Lottie,Motion,2.68,5.63,high,0.4760213143872114
synthetic,Text-to-Lottie,PSNR,,,high,
synthetic,Text-to-Lottie,SSIM,,,high,
synthetic,Text-to-Lottie,DINO,,,high,
synthetic,Text-Image-to-Lottie,Success,100.0,92.9,high,1.0764262648008611
synthetic,Text-Image-to-Lottie,Time,54.2803,,low,
synthetic,Text-Image-to-Lottie,Tokens(k),16.66996,16.3,high,1.0226969325153374
synthetic,Text-Image-to-Lottie,FVD,693.414599,225.45,low,0.32513016069337186
synthetic,Text-Image-to-Lottie,CLIP,0.282672,0.2666,high,1.060285071267817
synthetic,Text-Image-to-Lottie,Obj,5.36,4.44,high,1.207207207207207
synthetic,Text-Image-to-Lottie,Motion,3.16,3.98,high,0.7939698492462312
synthetic,Text-Image-to-Lottie,PSNR,,,high,
synthetic,Text-Image-to-Lottie,SSIM,,,high,
synthetic,Text-Image-to-Lottie,DINO,,,high,
synthetic,Video-to-Lottie,Success,98.0,80.7,high,1.2143742255266419
synthetic,Video-to-Lottie,Time,108.9464,,low,
synthetic,Video-to-Lottie,Tokens(k),33.211571400000004,41.4,high,0.8022118695652175
synthetic,Video-to-Lottie,FVD,719.884417,342.65,low,0.4759791876422851
synthetic,Video-to-Lottie,CLIP,,,high,
synthetic,Video-to-Lottie,Obj,,,high,
synthetic,Video-to-Lottie,Motion,,,high,
synthetic,Video-to-Lottie,PSNR,1.159362,15.76,high,0.07356357868020305
synthetic,Video-to-Lottie,SSIM,0.038376,0.79,high,0.048577215189873416
synthetic,Video-to-Lottie,DINO,0.482486,0.88,high,0.5482795454545455
